id,title,category,aliasList,positionList,url
819,"Professur für Politische Ökonomie, Institut für Volkswirtschaftslehre (ECON)",institute,[],"['49.00895', '8.41037']",http://polit.econ.kit.edu/deutsch/index.php
820,"Professur für Wirtschaftspolitik, Institut für Volkswirtschaftslehre (ECON)",institute,[],"['49.00494', '8.41088']",http://wipo.econ.kit.edu/
822,"Ökonomie und Ökologie des Wohnungsbaus (OEW), Fachgebiet Immobilienwirtschaft",institute,[],"['49.01237', '8.40929']",http://www.oew.kit.edu/
824,"Wirtschaftswissenschaften, KIT-Fakultät für",facility,[],"['49.00915', '8.40934']",http://www.wiwi.kit.edu/fakultaet.php
825,"Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ",institute,[],"['49.01025', '8.41176']",http://geistsoz.kit.edu/ismk/
828,"Institut für Operations Research (IOR), Bereich Diskrete Optimierung und Logistik",institute,[],"['49.00914', '8.40928']",http://dol.ior.kit.edu/
829,"Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung",institute,[],"['49.01300', '8.37529']",http://kop.ior.kit.edu/
830,"Institut für Operations Research (IOR), Bereich Stochastische Modellierung und Optimierung",institute,[],"['49.01305', '8.37524']",http://smo.ior.kit.edu/
831,"Institut für Operations Research (IOR), Bereich Analytics and Statistics",institute,[],"['49.00493', '8.41080']",http://as.ior.kit.edu/index.php
832,09.20,building,[],"['49.00944', '8.39324']",
833,09.21,building,[],"['49.01305', '8.37527']",
834,9651,building,[],"['49.09502', '8.43545']",
835,Schwerbehindertenvertretung (SBV) Campus Nord,facility,[],"['49.09361', '8.42831']",http://www.sbv.kit.edu/
837,"Technikzukünfte, Institut für ",institute,[],"['49.00952', '8.39331']",http://www.itz.kit.edu/index.php
838,"Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU), Institut für",institute,[],"['49.00905', '8.40956']",http://www.ibu.kit.edu/index.php
839,"Maschinenbau, KIT-Fakultät für",facility,[],"['49.00987', '8.41365']",http://www.mach.kit.edu/index.php
840,70.03,building,[],"['49.02215', '8.43354']",
841,145,building,[],"['49.09323', '8.42917']",
842,40.50,building,[],"['49.01418', '8.41438']",
843,40.51,building,[],"['49.01414', '8.41491']",
844,Evaluationsstelle (STS-QM),facility,[],"['49.00967', '8.41144']",https://www.sek.kit.edu/215.php
845,40.44,building,[],"['49.01615', '8.41488']",
846,Hochschulsport,facility,[],"['49.01605', '8.41686']",http://www.sport.kit.edu/Hochschulsport.php
847,Versuchsanstalt des Joseph Gottlieb Kölreuter Instituts für Pflanzenwissenschaften,facility,[],"['49.01325', '8.41928']",https://www.jkip.kit.edu/garten/index.php
849,01.90,building,[],"['49.00965', '8.41101']",
850,01.99,building,[],"['49.00966', '8.40757']",
851,09.22,building,[],"['48.99330', '8.34448']",
852,09.23,building,[],"['49.00519', '8.39072']",
853,70.04,building,[],"['49.02272', '8.43344']",
854,Mitfahrbank (Campus Süd): Bibliothek,facility,['mitfahrbank-cs-bib'],"['49.01086', '8.41658']",
855,Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt,facility,['mitfahrbank-cs-west'],"['49.01166', '8.40886']",
