id,identifikator,kategorie,koordinaten,webseite,funktion,name,adresse,postleitzahl,stadtviertel,oeffnungszeiten,rollstuhlgerechtigkeit,rollstuhlbeschreibung,old_identifikator,fakten
305,403,,"['49.09412', '8.43185']",,,,Karlsruher Allee 402,76344.0,Leopoldshafen,,,,403,
306,404,,"['49.09377', '8.43215']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,404,
307,405,,"['49.09352', '8.43211']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,405,
308,406,,"['49.09403', '8.43307']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,406,
309,407,,"['49.09374', '8.43178']",,Parkplatz,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,407,
310,408,,"['49.09394', '8.43248']",,,,Karlsruher Allee 402,76344.0,Leopoldshafen,,,,408,
311,409,,"['49.09408', '8.43340']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,409,
312,410,,"['49.09364', '8.43377']",,Service,,Blankenlocher Straße,76344.0,Leopoldshafen,,,,410,
313,411,,"['49.09412', '8.43251']",,,,Karlsruher Allee 402,76344.0,Leopoldshafen,,,,411,
314,412,,"['49.09288', '8.43591']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,412,
315,413,,"['49.09306', '8.43534']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,413,
316,414,,"['49.09348', '8.43479']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,414,
317,415,,"['49.09339', '8.43537']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,415,
318,416,,"['49.09327', '8.43397']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,416,
319,417,,"['49.09350', '8.43441']",,Service,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,417,
320,418,,"['49.09388', '8.43420']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,418,
321,419,,"['49.09378', '8.43489']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,419,
322,420,,"['49.09359', '8.43577']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,420,
323,421,,"['49.09502', '8.43111']",,Forschung,Institut für Hochleistungsimpuls- und Mikrowellentechnik,Karlsruher Allee 421,76344.0,Leopoldshafen,,,,421,
324,422,,"['49.09490', '8.43163']",,,,Karlsruher Allee 421,76344.0,Leopoldshafen,,,,422,
325,423,,"['49.09498', '8.43216']",,,,Karlsruher Allee 424,76344.0,Leopoldshafen,,,,423,
326,424,,"['49.09477', '8.43271']",,,,Karlsruher Allee 424,76344.0,Leopoldshafen,,,,424,
327,425,,"['49.09482', '8.43335']",,Forschung,Institut für QuantenMaterialien und Technologien,Karlsruher Allee 425,76344.0,Leopoldshafen,,,,425,
328,426,,"['49.09517', '8.43325']",,,,Weingartener Straße 426,76344.0,Leopoldshafen,,,,426,
329,427,,"['49.09493', '8.43261']",,,,Karlsruher Allee 424,76344.0,Leopoldshafen,,,,427,
330,428,,"['49.09528', '8.43230']",,,,Weingartener Straße 434,76344.0,Leopoldshafen,,,,428,
331,429,,"['49.09533', '8.43181']",,,,Weingartener Straße 441,76344.0,Leopoldshafen,,,,429,
332,430,,"['49.09375', '8.43128']",,Parkplatz,,Eggensteiner Straße,76344.0,Leopoldshafen,,,,430,
333,432,,"['49.09434', '8.43436']",,Service,,Karlsruher Allee,76344.0,Leopoldshafen,,,,432,
334,433,,"['49.09462', '8.43414']",,Service,,Blankenlocher Straße,76344.0,Leopoldshafen,,,,433,
335,434,,"['49.09520', '8.43298']",,,,Weingartener Straße 434,76344.0,Leopoldshafen,,,,434,
336,435,,"['49.09391', '8.43650']",,Turm,,Karlsruher Allee,76344.0,Leopoldshafen,,,,435,
337,436,,"['49.09485', '8.43473']",,Service,,Weingartener Straße,76344.0,Leopoldshafen,,,,436,
338,438,,"['49.09457', '8.43518']",,Service,,Neutharder Straße,76344.0,Leopoldshafen,,,,438,
